Product,Quantity,Unit Price,SKU
Rice,150,50.00,SKU-RICE-001
Flour,200,30.00,SKU-FLOUR-001
Sugar,120,40.00,SKU-SUGAR-001
Oil,80,100.00,SKU-OIL-001
Wheat,100,15.00,SKU-WHEAT-001
Lentils,90,150.00,SKU-LENTIL-001
Salt,250,10.00,SKU-SALT-001
Ghee,60,200.00,SKU-GHEE-001
Honey,45,300.00,SKU-HONEY-001
Spice Mix,75,80.00,SKU-SPICE-001
Chickpeas,110,120.00,SKU-CHICK-001
Black Beans,95,130.00,SKU-BEAN-001
Milk Powder,85,250.00,SKU-MILK-001
Tea Leaves,200,80.00,SKU-TEA-001
Coffee Beans,65,400.00,SKU-COFFEE-001
Butter,55,350.00,SKU-BUTTER-001
Cheese,40,500.00,SKU-CHEESE-001
Yogurt,120,60.00,SKU-YOGURT-001
Bread,180,20.00,SKU-BREAD-001
Rice Bran Oil,70,180.00,SKU-RBRAN-001
